Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010
124,596.0770,524.4160,181.8840,904.6300,491.9000,400.4600,329.9610,889.3970,642.7330,732.9670,1088.7010,1098.4440
840,1161.7780,1902.5340,1226.9480,1665.3740,2683.4100,3526.9790,3302.9610,3786.2100,4458.1020,8521.4580,6195.1970,4954.9240
909,482.0900,421.4300,398.1960,697.1980,462.0570,93.3660,450.9370,564.6970,423.6010,414.2750,687.3800,1113.9970
927,501.2940,447.7540,405.1810,715.3040,509.1230,153.4410,486.5480,657.9070,490.5600,508.6630,797.9780,1189.6430
36,439.2990,405.4870,361.4270,712.1980,428.0060,228.9250,489.3990,666.5300,371.0640,465.6770,661.6080,1124.6390
554,61.9950,42.2670,43.7540,3.1060,81.1170,-75.4840,-2.8510,-8.6230,119.4960,42.9860,136.3700,65.0040
928,-5.5780,-7.5260,3.9940,-3.6850,-9.9210,-29.6050,-16.8710,-70.6550,-31.7840,-43.8240,-56.1580,-22.3680
242,-3.2860,-4.8580,2.4510,-9.5670,-12.5060,-20.7090,-11.6280,-66.8750,-35.7960,-42.2600,-61.7970,-28.7540
540,-3.5970,2.3000,3.1520,0.8810,6.4240,-1.3620,-2.1300,0.6120,5.0590,6.2170,5.6390,6.3860
598,-0.6650,-7.6750,-4.3170,2.9930,-7.3520,-8.2430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,1.9290,2.6600,2.4500,2.3020,2.1540,0.3120,0.0000,-1.8660,-0.9830,-0.6820,0.0000,0.0000
548,0.0410,0.0470,0.2580,-0.2940,1.3590,0.3970,-3.1130,-2.5260,-0.0640,-7.0990,0.0000,0.0000
954,-4.6080,-4.6830,-2.1590,-1.8610,-10.2920,-4.3610,11.6380,9.8530,-5.0280,-23.2750,-24.1780,-25.2990
316,-3.6150,-4.3460,-2.1330,-1.1230,-2.2570,-1.3560,-0.1180,0.5030,-3.1970,-4.8480,0.7950,0.0000
583,0.0000,0.0000,0.0000,0.0000,-7.9970,-0.5480,0.0000,-2.4610,-2.2340,-13.6180,-9.7130,-9.0000
957,-9.0180,-14.1150,-8.8200,-12.5600,-26.8530,-26.1090,-30.3780,-32.4080,-30.1470,-27.2890,-30.2620,-27.9790
258,-0.0860,-2.0160,-0.7380,0.6910,2.1800,4.2440,3.1510,-1.0830,-0.5240,3.2240,-0.3820,-0.4130
882,-2.5490,-1.3480,-3.1520,-5.0540,-12.5460,-15.1470,-20.1700,-16.4020,-13.0230,-14.9700,-17.9060,-15.7380
776,-1.6140,-4.9250,0.1030,-3.1470,-7.6350,-7.8890,-12.5420,-10.9020,-11.0820,-8.7010,-8.1290,-8.1960
