Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010
388,-5.0720,-18.9540,-17.5170,-18.6650,-10.7420,-10.9600,-7.3790,-13.7700,-9.2590,-5.8070,-5.7820,-7.3760
474,-6.8440,0.0270,-5.5250,-14.4920,-16.5590,-12.6340,-0.9830,-0.1340,-3.7020,0.2860,-1.1760,-0.9960
530,-10.7780,-7.8080,-5.7060,-0.4620,-6.2320,-7.1980,-5.9510,-4.6910,-13.2800,-20.6060,-0.3690,8.7350
630,-25.8720,-18.1550,-7.3840,-10.1470,-2.8780,-1.2660,-2.9760,-3.1710,-0.2490,-1.3420,-8.0910,-7.7060
662,-22.5260,-29.0000,-20.1760,-17.4390,-20.3510,-15.9860,-14.2370,-6.5130,-6.6910,-1.2360,-0.7830,-1.1780
670,-14.2330,-13.6600,-20.9680,-20.9710,-17.1990,-14.2830,-13.6680,-12.7010,-15.4160,-14.1350,-9.2320,-9.1710
780,-2.8060,2.9270,-16.0670,-5.0540,-10.9360,-7.5220,-4.1450,-10.3970,-3.8190,-3.0950,-3.0380,-2.9820
850,-4.7150,-4.7230,50.5780,12.8250,22.8050,-2.8340,-13.2120,-22.0950,-10.9840,-9.4710,-6.6390,-6.6000
916,-0.9370,-0.2770,-1.9070,-3.7440,-3.0680,-2.8730,-5.1080,-3.9230,-4.2490,-3.6050,-5.0080,-3.3340
84,-8.7510,-5.8790,-5.6590,-6.1410,-17.4520,-21.8350,-6.3460,-5.3320,-1.9110,-1.6730,-0.7320,-0.6560
188,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,2.4810,1.7380,3.8150,6.9040,4.0830,3.3720
222,-6.0320,-3.8830,-0.9720,-3.0560,-4.8690,-8.6680,-10.4910,-11.2600,-9.2340,-13.7660,-11.8660,-9.5300
320,0.0000,0.0000,-1.1770,-2.0570,-3.5970,-6.7850,-6.6710,-7.1100,-7.6030,-7.3400,-5.0100,-2.9510
340,1.2490,1.0770,1.0120,-5.5580,-3.4540,-1.7830,-2.5470,-3.0720,-4.5870,-6.1050,-4.5810,-2.7620
484,-0.7460,-0.0400,-2.2940,-4.1680,-2.9910,-2.2980,-5.0460,-3.2420,-3.9540,-2.8120,-5.0300,-3.2840
558,-1.5420,-1.3420,-1.4600,-1.7040,-3.0820,-3.9730,-6.3500,-7.9670,-5.2040,-6.5000,-7.8640,-7.1350
591,-1.1320,-0.9870,-1.5200,-1.3140,-1.2240,-0.0470,-0.9680,-1.3060,0.6280,0.7810,0.5170,0.6510
931,1.2360,-0.0370,-0.3200,-0.3560,-0.0740,-0.3960,-0.4060,-0.4080,-0.4960,-0.6040,-0.9860,-0.9890
32,3.4370,1.4160,1.1650,1.0800,2.3170,-1.6230,0.5470,0.7620,0.0000,-0.2790,-0.9520,-1.0110
68,-2.0970,-2.0120,-1.9130,-1.8070,-1.7820,-1.3840,-3.5370,-3.1710,-2.8310,-2.5350,-3.0020,-3.4630
76,1.8810,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0250,-0.1290,-0.1280,-0.1190,-0.5550,-0.5250
152,-1.2450,-1.1100,-0.8090,-0.7240,-1.6000,-1.4820,-1.0310,-0.6330,1.3040,0.8050,0.3780,0.3590
170,-2.3230,-2.6820,-2.8930,-2.8080,-2.4730,-2.1400,-1.7300,-1.4870,-1.4360,-0.7870,-0.5800,-0.5370
218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.9240,-4.2140,-1.8630,-1.7210
254,1.7100,6.3290,19.3740,18.3600,9.5920,16.3400,27.7530,32.7590,6.9540,8.6870,16.2020,5.5410
328,3.1280,-2.2510,-1.2090,-3.8960,-15.5280,-13.6630,-25.7030,-23.8330,-12.8300,-11.6300,-8.9010,-10.6610
600,-9.8410,-8.1750,-6.7800,-5.5410,-4.3660,-3.0300,-1.2060,-0.8510,-1.3470,-1.6950,-1.5850,-1.2950
604,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4440,-0.8710,-1.7500,-2.6370,-2.8180,-4.6800,-5.1200
740,-2.9440,-4.0120,-7.1040,-7.8710,-30.8470,-22.1030,-17.1310,-2.4750,-1.5860,-2.5060,0.0010,-1.9520
858,0.8680,1.6290,-0.4590,-2.4710,-9.6480,-4.1780,-2.0250,-1.9610,-1.2630,-1.5900,-6.2640,-2.9890
862,6.0100,4.9340,0.6010,0.5060,5.8210,5.5560,0.9290,0.8120,0.3840,0.3450,0.3140,0.2880
905,1.9610,2.4810,1.3300,2.2820,2.6810,3.1600,2.7860,3.4100,3.5340,6.0760,4.5330,3.5920
124,8.0900,6.2350,1.9360,8.7410,4.3860,3.3610,2.6210,6.6440,4.5100,4.8890,6.9180,6.6270
840,1.4130,2.1290,1.2720,1.6290,2.5050,3.1430,2.8050,3.0630,3.4320,6.2110,4.2780,3.2640
909,7.1850,5.6310,4.7890,7.5390,4.5090,0.8400,3.7690,4.3560,3.0250,2.7540,4.2520,6.3540
927,9.3570,7.4620,6.0820,9.6870,6.2620,1.7620,5.2690,6.6500,4.6400,4.5400,6.7110,9.2990
36,10.1070,8.3200,6.6790,11.8270,6.4320,3.2020,6.4140,8.1020,4.2150,4.9960,6.6880,10.5420
